100	Emmanuel Mudiay	DEN	20	41	18	23	28.6	12.1	4.2	11.2	37.3	1.2	3.8	31.6	2.5	3.2	78.5	0.5	2.9	3.5	4.2	2.6	0.9	0.3	1.9	1	0	-3.0
101	Jamal Crawford	LAC	36	47	30	17	26.4	11.9	4.4	11.1	39.3	1.2	3.8	32.0	1.9	2.2	87.4	0.2	1.5	1.7	2.9	1.8	0.6	0.2	1.4	0	0	0.9
102	Austin Rivers	LAC	24	45	28	17	27.1	11.9	4.4	9.7	44.9	1.6	3.9	40.8	1.6	2.2	72.0	0.3	1.7	2.0	2.6	1.4	0.7	0.2	2.4	0	0	-0.8
103	Brandon Knight	PHX	25	42	13	29	21.9	11.9	4.0	10.2	39.5	0.9	2.6	34.9	2.9	3.4	85.8	0.5	1.9	2.4	2.4	1.7	0.6	0.0	1.8	0	0	-6.2
104	Jonas Valanciunas	TOR	24	44	27	17	27.1	11.8	4.7	8.9	53.1	0.0	0.0	0.0	2.4	2.8	86.3	3.2	7.0	10.1	0.7	1.5	0.5	0.8	2.9	17	0	1.9
105	Tim Hardaway Jr.	ATL	24	44	26	18	23.0	11.8	4.5	10.0	44.8	1.7	4.8	35.1	1.2	1.8	64.6	0.3	1.8	2.1	1.9	1.1	0.6	0.2	1.2	0	0	3.3
106	Pau Gasol	SAS	36	39	30	9	26.4	11.7	4.8	9.4	51.0	0.5	1.1	46.5	1.7	2.6	64.4	1.5	6.4	7.9	2.7	1.3	0.4	1.2	1.7	6	0	3.7
107	Thaddeus Young	IND	28	44	22	22	31.4	11.7	5.0	9.5	52.6	1.0	2.3	42.7	0.7	1.3	56.1	1.5	4.7	6.1	1.7	1.6	1.7	0.5	1.8	4	0	0.0
108	Aaron Gordon	ORL	21	47	18	29	27.8	11.6	4.5	10.3	43.8	1.1	3.6	30.4	1.4	2.3	61.8	1.3	3.4	4.7	2.0	1.1	0.8	0.4	2.1	2	0	-2.5
109	Taj Gibson	CHI	31	46	23	23	27.6	11.5	5.0	9.8	51.0	0.0	0.2	12.5	1.5	2.2	68.7	2.3	4.8	7.1	1.1	1.4	0.6	0.9	2.3	11	0	-0.6
