105	Clint Capela	HOU	22	28	21	7	24.5	11.8	5.4	8.4	64.0	0.0	0.0	0.0	1.0	2.3	44.6	2.4	5.6	8.0	0.9	1.3	0.4	1.6	2.7	6	0	1.8
106	Jonas Valanciunas	TOR	24	32	22	10	26.7	11.8	4.7	8.8	53.6	0.0	0.0	0.0	2.4	2.9	84.8	3.0	6.6	9.5	0.7	1.5	0.5	0.7	2.7	12	0	1.5
107	Dirk Nowitzki	DAL	38	10	2	8	22.5	11.7	4.4	11.7	37.6	1.1	3.6	30.6	1.8	1.9	94.7	0.5	5.0	5.5	1.2	1.0	0.3	0.4	1.6	0	0	-10.5
108	DeAndre Jordan	LAC	28	37	23	14	31.6	11.6	4.5	6.7	66.7	0.0	0.0	0.0	2.6	4.9	53.3	3.5	9.9	13.4	0.9	1.7	0.5	1.8	2.7	14	0	5.6
109	Josh Richardson	MIA	23	26	6	20	31.1	11.5	4.5	11.3	39.6	1.7	5.1	32.3	0.9	1.2	75.0	0.5	2.7	3.2	2.7	1.4	1.0	0.5	2.7	0	0	-2.8
110	Marcin Gortat	WAS	32	34	16	18	35.9	11.5	5.0	8.8	57.0	0.0	0.0	0.0	1.4	2.3	62.3	3.2	8.7	12.0	1.9	1.6	0.5	1.0	3.1	20	0	1.7
111	Elfrid Payton	ORL	22	36	16	20	28.7	11.4	4.7	10.4	45.3	0.6	2.3	25.9	1.4	2.2	61.3	0.7	3.0	3.7	5.9	1.9	1.1	0.6	2.0	3	0	-1.5
112	James Johnson	MIA	29	31	10	21	24.5	11.3	4.2	8.6	49.2	1.2	3.3	37.6	1.6	2.4	68.0	0.9	4.1	5.0	2.5	2.0	0.7	0.9	2.5	1	0	-1.5
113	Tim Hardaway Jr.	ATL	24	32	17	15	22.0	11.3	4.3	9.6	44.2	1.5	4.6	32.4	1.3	2.0	64.6	0.3	1.6	2.0	1.6	1.0	0.4	0.2	1.2	0	0	2.5
114	Jon Leuer	DET	27	36	16	20	27.5	11.3	4.5	8.9	50.9	0.8	2.5	30.8	1.4	1.6	89.5	1.5	4.8	6.2	1.7	0.8	0.5	0.4	1.9	2	0	2.2
115	Tony Parker	SAS	34	26	21	5	25.6	11.1	4.7	10.0	46.7	0.5	1.2	40.0	1.3	1.7	79.5	0.3	1.6	1.9	4.6	1.5	0.4	0.0	1.5	0	0	4.5
116	Mason Plumlee	POR	26	36	15	21	27.4	11.1	4.5	8.0	56.1	0.0	0.1	0.0	2.2	4.0	54.5	1.9	5.6	7.5	4.2	1.6	0.8	1.0	2.7	6	0	-0.5
117	Marco Belinelli	CHA	30	30	17	13	25.2	11.0	3.9	8.5	45.7	1.8	3.9	45.3	1.5	1.7	86.3	0.2	2.4	2.6	1.7	0.8	0.6	0.2	1.4	1	0	0.0
